title,address,latitude,longitude,price,description,features,number_beds,number_baths,images,letting_agent_name,available_from
2 bed flat to rent,"Salamander Court, Leith, Edinburgh EH6",,,£950 pcm,"Unfurnished accommodation comprises: Large hallway leading to all rooms. Generous sized living room with hardwood flooring and bright outlook. Stylish kitchen with modern units and all white good provided. Bedroom 2 with built in storage and carpet flooring. Master bedroom with similar features and ensuite showering facility. Tiled family bathroom with 3 piece suite and overhead shower. 2x large hall storage cupboards. Property is heated by gas central heating and has a new combiboiler installed. It also benefits from double glazing and private residents parking. Available to rent from 17.02.2022. Call early to view and secure. Larn: 1810006. EPC: B. Ll reg: Pending. Council Tax: C.,Deposit: £1,050","Unfurnished,Fridge Freezer,Electric Oven,Central Heating,Private Parking,Parking,Shower,Smoke Detector,Double Glazing,Carpet Flooring,Laminate Flooring",2 beds,,"https://lid.zoocdn.com/u/480/360/eeebf89b442ad200054170f2c6f33ddf3dd639e4.jpg:p,https://lid.zoocdn.com/u/768/576/eeebf89b442ad200054170f2c6f33ddf3dd639e4.jpg:p,https://lid.zoocdn.com/u/1024/768/eeebf89b442ad200054170f2c6f33ddf3dd639e4.jpg:p,https://lid.zoocdn.com/u/1080/810/eeebf89b442ad200054170f2c6f33ddf3dd639e4.jpg:p,https://lid.zoocdn.com/u/1200/900/eeebf89b442ad200054170f2c6f33ddf3dd639e4.jpg:p,https://lid.zoocdn.com/u/1600/1200/eeebf89b442ad200054170f2c6f33ddf3dd639e4.jpg:p,https://lid.zoocdn.com/u/2400/1800/eeebf89b442ad200054170f2c6f33ddf3dd639e4.jpg:p",Zone Letting Limited,Available from 17 February 2022
1 bed flat to rent,"Balfour Street, Edinburgh EH6",,,£825 pcm,"**book viewings at Glenham Property website**,Situated in a leafy cul-de-sac just off Leith Walk, this stunning and spacious ground floor one bed flat has undergone extensive refurbishment throughout and is decorated and furnished to a high standard.,The property consists of entry hall, large open plan kitchen and living area with breakfast bar, generous double bedroom with walk in storage cupboard, bathroom and shower.,Balfour Street lies within the popular Leith district, on the north east side of the city, just under one and a half miles from Princes Street. This convenient location, close to Easter Road and Leith Walk, is well placed for easy access to a great selection of popular restaurants, bistros and bars. An array of local shops are to hand for every day needs, including a Tesco store on Duke Street, whilst the fashionable Port of Leith, Ocean Terminal, and the city centre can be easily reached by car, or by means of regular bus services within the surrounding area. A fast route is available to the city by-pass via Seafield Road, while Ferry Road offers a connection to the west side of Edinburgh, with onwards links to the M8, M9 and M90 motorway network, and the International Airport. Arthur?s Seat, Holyrood Park and the Scottish Parliament building lie approximately one and a half miles to the south.,Council Tax Band - B,Landlord reg no - 1303907/230/06102,larn 1811020,*Please note the photographs within this advertisement may have been taken during a previous tenancy and as a result you should not rely only on these as an accurate representation of furnishings and items included in the agreement. A viewing is required to ensure you have an accurate understanding of the condition and contents of the property.,Deposit: £825",Furnished,1 bed,,"https://lid.zoocdn.com/u/480/360/7d520f5301548723501f85e789f83a418b055081.jpg:p,https://lid.zoocdn.com/u/768/576/7d520f5301548723501f85e789f83a418b055081.jpg:p,https://lid.zoocdn.com/u/1024/768/7d520f5301548723501f85e789f83a418b055081.jpg:p,https://lid.zoocdn.com/u/1080/810/7d520f5301548723501f85e789f83a418b055081.jpg:p,https://lid.zoocdn.com/u/1200/900/7d520f5301548723501f85e789f83a418b055081.jpg:p,https://lid.zoocdn.com/u/1600/1200/7d520f5301548723501f85e789f83a418b055081.jpg:p,https://lid.zoocdn.com/u/2400/1800/7d520f5301548723501f85e789f83a418b055081.jpg:p",Glenham Property,Available from 19 January 2022
2 bed flat to rent,"Gardners Crescent, Fountainbridge EH3",,,"£1,260 pcm","Deposit £500 - Two double bedroom apartment with secure underground parking, available 24th December 2021, furnished. This property is ideally located just minutes from Lothian Road, therefore offering easy access to all areas of the city. The property has bright and fresh decor throughout and offers a high standard of living. Accommodation comprises: Large open plan and fully integrated kitchen/living/dining room, one double bedroom benefiting from an en suite bathroom, one single room, shower room and ample storage. The property further benefits from gas central heating, double glazing, lift access, secure underground parking and a secure gated entry system.,Virtual viewing available :- copy and paste this link into your browser - & ,Landlord Registration: 273340/230/28321 & 273341/230/28321,Scottish Letting Agent Registration Number LARN1812026","Furnished,Central Heating,Council Tax Band - E,Fitted Kitchen",2 beds,,"https://lid.zoocdn.com/u/480/360/1138ef2b3a7005e12d1251ed829694b067e0a196.jpg:p,https://lid.zoocdn.com/u/768/576/1138ef2b3a7005e12d1251ed829694b067e0a196.jpg:p,https://lid.zoocdn.com/u/1024/768/1138ef2b3a7005e12d1251ed829694b067e0a196.jpg:p,https://lid.zoocdn.com/u/1080/810/1138ef2b3a7005e12d1251ed829694b067e0a196.jpg:p,https://lid.zoocdn.com/u/1200/900/1138ef2b3a7005e12d1251ed829694b067e0a196.jpg:p,https://lid.zoocdn.com/u/1600/1200/1138ef2b3a7005e12d1251ed829694b067e0a196.jpg:p,https://lid.zoocdn.com/u/2400/1800/1138ef2b3a7005e12d1251ed829694b067e0a196.jpg:p",DJ Alexander Lettings Ltd,Available from 24 December 2021
3 bed flat to rent,"Royal Crescent, New Town, Edinburgh EH3",,,"£1,900 pcm","Stunning Unfurnished Georgian flat situated in the heart of the popular New Town, just a 10 minute walk to Princes St and the City Centre.,This property comprises of a spacious reception hallway, large lounge with original fire place and cornicing, two substantial double bedrooms and a further master bedroom with en-suite bathroom, modern fully fitted kitchen, utility cupboard and further bathroom.,The property further benefits from gas central heating, dishwasher, new carpets throughout, original shutters and many other period features.,Landlord Registration Number: 266306/230/09361. EPC: C.,Ben Property Management Limited is a regulated agent, registration number LARN1809028","Unfurnished,Digital TV Service,Council Tax Band - F",3 beds,,"https://lid.zoocdn.com/u/480/360/df07dc98264d97d3d050729aeb2b85ed44935eba.jpg:p,https://lid.zoocdn.com/u/768/576/df07dc98264d97d3d050729aeb2b85ed44935eba.jpg:p,https://lid.zoocdn.com/u/1024/768/df07dc98264d97d3d050729aeb2b85ed44935eba.jpg:p,https://lid.zoocdn.com/u/1080/810/df07dc98264d97d3d050729aeb2b85ed44935eba.jpg:p,https://lid.zoocdn.com/u/1200/900/df07dc98264d97d3d050729aeb2b85ed44935eba.jpg:p,https://lid.zoocdn.com/u/1600/1200/df07dc98264d97d3d050729aeb2b85ed44935eba.jpg:p,https://lid.zoocdn.com/u/2400/1800/df07dc98264d97d3d050729aeb2b85ed44935eba.jpg:p",Ben Property Management Ltd,Available from 23 December 2021
1 bed flat to rent,"Easter Dalry Wynd, Edinburgh EH11",,,£945 pcm,"Exceptionally spacious one double bedroom apartment with private parking space in the heart of Haymarket. Within five minutes` walk of Haymarket rail station and a Lothian Tram stop, this furnished flat would bePerfect for/mature student couple or single person.,Top Floor Flat within the distinctive converted former Caledonian Distillery, dating from the Victorian era, adjacent to Haymarket Station and a relatively short walk to the West End of Princes Street in the centre of Edinburgh. This splendid flat enjoys a favoured position in one of the original distillery buildings located just behind the striking original ""Tall Chimney"" which is the iconic landmark forming the heart of the stylish Dalry Gait Development.,Internally the flat comprises of a spacious hall with storage, living room/kitchen with all modern appliances and a dining table to sit six people comfortably, double bedroom which can be set up as a twin room with ample wardrobe space, bathroom with shower over bath and a further WC. Further benefits from private parking space, secure entry, double glazing, gas central heating and a communal Japanese courtyard garden.,Dalry is conveniently located within walking distance of Haymarket and enjoys easy access to the City Centre. A wide range of shops and restaurants are on the doorstep including the Co-op and Lidl, with further choices in nearby Gorgie including Sainsbury`s. The flat is ideally placed for regular bus services to all parts of the City, with both Waverley and Haymarket Train Stations close by and a tram stop conveniently located at Haymarket providing easy access to Heriot-Watt University and Edinburgh College. The Western Approach Road and City-bypass provide access to the various motorway networks. Recreational and leisure opportunities include The Dalry Swim Centre which is within a short walk and Green`s Leisure club at Chesser. The Fountain Park complex is close by offering a further choice of restaurants, bars, multi screen cinema and fitness club.,EPC: C.,Landlord Registration: 888700/230/02071.,Ben Property Management Limited is a regulated agent, registration number LARN1809028.",Furnished,1 bed,,"https://lid.zoocdn.com/u/480/360/dc94d81058ad7475a49b5c16f818a6fbc585a47d.jpg:p,https://lid.zoocdn.com/u/768/576/dc94d81058ad7475a49b5c16f818a6fbc585a47d.jpg:p,https://lid.zoocdn.com/u/1024/768/dc94d81058ad7475a49b5c16f818a6fbc585a47d.jpg:p,https://lid.zoocdn.com/u/1080/810/dc94d81058ad7475a49b5c16f818a6fbc585a47d.jpg:p,https://lid.zoocdn.com/u/1200/900/dc94d81058ad7475a49b5c16f818a6fbc585a47d.jpg:p,https://lid.zoocdn.com/u/1600/1200/dc94d81058ad7475a49b5c16f818a6fbc585a47d.jpg:p,https://lid.zoocdn.com/u/2400/1800/dc94d81058ad7475a49b5c16f818a6fbc585a47d.jpg:p",Ben Property Management Ltd,Available from 20 December 2021
2 bed flat to rent,"Broughton Road, Broughton EH7",55.9641374,-3.1933791,£890 pcm,"Deposit £300 - Bright and spacious two bed flat in popular location, available 6th January 2022. Broughton is situated on the edge of the New Town and is well served by numerous amenities including a Tesco store, delicatessens, butchers and other convenience shops. Close by is the Omni Centre at Picardy Place which has various bars and restaurants, a health club and multi-screen cinema. An excellent bus service operates to and from the city centre and there are picturesque walks along the Water of Leith walkway as well as various cycle tracks through the immediate area.,Landlord Reg: 91169/230/26540,Scottish Letting Agent Registration Number LARN1812026,virtual viewing :- copy and paste this link into your browser -","Furnished,Central Heating,Shower,Council Tax Band - C,On Street Parking",2 beds,,"https://lid.zoocdn.com/u/480/360/04fad00b75a202d3435d58222950e4a095bbecdd.jpg:p,https://lid.zoocdn.com/u/768/576/04fad00b75a202d3435d58222950e4a095bbecdd.jpg:p,https://lid.zoocdn.com/u/1024/768/04fad00b75a202d3435d58222950e4a095bbecdd.jpg:p,https://lid.zoocdn.com/u/1080/810/04fad00b75a202d3435d58222950e4a095bbecdd.jpg:p,https://lid.zoocdn.com/u/1200/900/04fad00b75a202d3435d58222950e4a095bbecdd.jpg:p,https://lid.zoocdn.com/u/1600/1200/04fad00b75a202d3435d58222950e4a095bbecdd.jpg:p,https://lid.zoocdn.com/u/2400/1800/04fad00b75a202d3435d58222950e4a095bbecdd.jpg:p",DJ Alexander Lettings Ltd,Available from 06 January 2022
2 bed flat to rent,"Bruntsfield Gardens, Bruntsfield EH10",,,"£1,200 pcm","Deposit £1800 - Spacious, fully furnished, two double bedroom, Victorian flat with bay windowed living room, large dining kitchen and box room, available 6th January 2022. Situated in highly desirable Bruntsfield, away from any traffic noise but within a very short walk of all the various local amenities with the area, this well appointed, top floor flat offers an excellent standard of accommodation. The property would ideally suit a professional couple and is a non smoking property.The property comprises two double bedrooms, large box room with raised bunk bed, fully equipped dining kitchen with larder and utility area, bathroom with shower and large central hallway. The property has gas central heating.,Landlord Registration: 119723/230/20020,Scottish Letting Agent Registration Number LARN1812026","Furnished,Central Heating,Shower,Council Tax Band - E,Fitted Kitchen",2 beds,,"https://lid.zoocdn.com/u/480/360/b7427ff7487daf2e6af7f90859bd969ad530e94a.jpg:p,https://lid.zoocdn.com/u/768/576/b7427ff7487daf2e6af7f90859bd969ad530e94a.jpg:p,https://lid.zoocdn.com/u/1024/768/b7427ff7487daf2e6af7f90859bd969ad530e94a.jpg:p,https://lid.zoocdn.com/u/1080/810/b7427ff7487daf2e6af7f90859bd969ad530e94a.jpg:p,https://lid.zoocdn.com/u/1200/900/b7427ff7487daf2e6af7f90859bd969ad530e94a.jpg:p,https://lid.zoocdn.com/u/1600/1200/b7427ff7487daf2e6af7f90859bd969ad530e94a.jpg:p,https://lid.zoocdn.com/u/2400/1800/b7427ff7487daf2e6af7f90859bd969ad530e94a.jpg:p",DJ Alexander Lettings Ltd,Available from 06 January 2022
1 bed flat to rent,"Leslie Place, Stockbridge EH4",,,£875 pcm,"Deposit £875 - One double bedroom flat with fresh decor situated in the heart of Stockbridge, available 23rd December 2021, furnished. Stockbridge is situated within walking distance of the heart of Edinburgh`s city centre, and has a bustling high street, offering an eclectic mix of speciality shops, restaurants, fashionable bars and delicatessens, giving the area an artistic, almost bohemian feel. This bright flat is decorated to a fantastic standard and offers comfortable living space and access to a communal drying green. Accommodation comprises large open plan living/dining/kitchen area, one double bedroom bathroom with shower and separate WC. The property has white meter heating and permit parking. A must see!,Landlord Registration: 82215/230/16300,Scottish Letting Agent Registration Number LARN1812026,virtual viewing :- copy and paste this link into your browser -","Furnished,Central Heating,Shower,Council Tax Band - B",1 bed,,"https://lid.zoocdn.com/u/480/360/8e4f00f002b89a22c67654c36f88d3e95c591f7a.jpg:p,https://lid.zoocdn.com/u/768/576/8e4f00f002b89a22c67654c36f88d3e95c591f7a.jpg:p,https://lid.zoocdn.com/u/1024/768/8e4f00f002b89a22c67654c36f88d3e95c591f7a.jpg:p,https://lid.zoocdn.com/u/1080/810/8e4f00f002b89a22c67654c36f88d3e95c591f7a.jpg:p,https://lid.zoocdn.com/u/1200/900/8e4f00f002b89a22c67654c36f88d3e95c591f7a.jpg:p,https://lid.zoocdn.com/u/1600/1200/8e4f00f002b89a22c67654c36f88d3e95c591f7a.jpg:p,https://lid.zoocdn.com/u/2400/1800/8e4f00f002b89a22c67654c36f88d3e95c591f7a.jpg:p",DJ Alexander Lettings Ltd,Available from 23 December 2021
2 bed flat to rent,"Rocheid Park, Edinburgh EH4",,,"£1,155 pcm","Deposit £300 - Fabulous two bedroom flat with sun terrace, situated in a quiet residential development, minutes drive from the City Centre, available 6th January 2022, unfurnished. This first floor property comprises: Two double bedrooms with the Master benefiting from an en-suite bathroom, wonderful open plan living room with dining area and access out on to the sun terrace, spacious fully fitted and integrated breakfasting kitchen and seperate shower room. The property also benefits from a secure door entry system, private parking, gas central heating and double glazing.,Landlord Registration: 282144/230/07391,Scottish Letting Agent Registration Number LARN1812026","Unfurnished,Central Heating,Private Parking,Shower,Council Tax Band - F,Fitted Kitchen",2 beds,,"https://lid.zoocdn.com/u/480/360/99dda7d47d98698e5a3ff4b18a40a19151c75deb.jpg:p,https://lid.zoocdn.com/u/768/576/99dda7d47d98698e5a3ff4b18a40a19151c75deb.jpg:p,https://lid.zoocdn.com/u/1024/768/99dda7d47d98698e5a3ff4b18a40a19151c75deb.jpg:p,https://lid.zoocdn.com/u/1080/810/99dda7d47d98698e5a3ff4b18a40a19151c75deb.jpg:p,https://lid.zoocdn.com/u/1200/900/99dda7d47d98698e5a3ff4b18a40a19151c75deb.jpg:p,https://lid.zoocdn.com/u/1600/1200/99dda7d47d98698e5a3ff4b18a40a19151c75deb.jpg:p,https://lid.zoocdn.com/u/2400/1800/99dda7d47d98698e5a3ff4b18a40a19151c75deb.jpg:p",DJ Alexander Lettings Ltd,Available from 06 January 2022
2 bed flat to rent,"Brunswick Road, Brunswick EH7",55.959503,-3.1717326,"£1,295 pcm","Deposit £1900 -Two bedroom apartment with balcony and off street allocated parking space in the desirable area of Hillside, available 23rd December 2021, fully furnished. Situated just off Elm Row at the top of Leith Walk, this development is surrounded by a diverse selection of bars and restaurants. In addition, tenants will also enjoy easy access to the city centre. The shops, bars and restaurants of George Street and Princes Street are just over a mile away and the amenities within the Omni Centre are only a ten-minute walk. There are also plenty of independent shops on the doorstep. The apartment is conveniently placed for accessing the city`s bus and tram network and Edinburgh`s Waverley Station provides frequent trains to Glasgow and the wider rail network. This first floor (street level) apartment has been finished and furnished to the highest specification and would make an ideal home for a single professional or a couple. The apartment comprises living room with dining area and floor to ceiling glass door providing access to the private balcony, breakfasting kitchen with integrated fridge freezer, dishwasher and washer / dryer), two double bedrooms both with built in wardrobes (second bedroom setup as guestroom/study) and a bathroom with bath and separate shower. The property further benefits from double glazing, gas central heating, lift access, entry phone system, ample storage, bike storage and a private, allocated parking space for one car.,Landlord Registration no.s: 590806/230/18091 & 590803/230/18091,Scottish Letting Agent Registration Number LARN1812026","Furnished,Central Heating,Shared Garden,Private Parking,Council Tax Band - E,Fitted Kitchen",2 beds,,"https://lid.zoocdn.com/u/480/360/08bad1b6a20bbeab7c2c3781dfdb5be44da43e9c.jpg:p,https://lid.zoocdn.com/u/768/576/08bad1b6a20bbeab7c2c3781dfdb5be44da43e9c.jpg:p,https://lid.zoocdn.com/u/1024/768/08bad1b6a20bbeab7c2c3781dfdb5be44da43e9c.jpg:p,https://lid.zoocdn.com/u/1080/810/08bad1b6a20bbeab7c2c3781dfdb5be44da43e9c.jpg:p,https://lid.zoocdn.com/u/1200/900/08bad1b6a20bbeab7c2c3781dfdb5be44da43e9c.jpg:p,https://lid.zoocdn.com/u/1600/1200/08bad1b6a20bbeab7c2c3781dfdb5be44da43e9c.jpg:p,https://lid.zoocdn.com/u/2400/1800/08bad1b6a20bbeab7c2c3781dfdb5be44da43e9c.jpg:p",DJ Alexander Lettings Ltd,Available from 23 December 2021
2 bed flat to rent,"Saxe Coburg Terrace, Stockbridge EH3",,,"£1,400 pcm","Deposit £1400 - Charming, two bedroom, traditional flat situated on a highly desirable street in Stockbridge, access to shared garden area, available 6th January 2022, unfurnished. Set on a quiet street just a few minutes walk from all the various shops, cafes and bars within Stockbridge and a mere 10 minutes walk from the city centre, this excellent, 1st floor flat offers a high standard of accommodation. The property, which retains many fine period features, comprises large living room with a dining table, well equipped kitchen, a double bedroom, single bedroom, and bathroom with shower. The property has gas central heating and access to a garden.,Landlord reg: 143246/230/07021,Scottish Letting Agent Registration Number LARN1812026","Furnished,Central Heating,Shower,Council Tax Band - D,Fitted Kitchen",2 beds,,"https://lid.zoocdn.com/u/480/360/6f48ae6c96c86d3a200212206b1c3c92da556a56.jpg:p,https://lid.zoocdn.com/u/768/576/6f48ae6c96c86d3a200212206b1c3c92da556a56.jpg:p,https://lid.zoocdn.com/u/1024/768/6f48ae6c96c86d3a200212206b1c3c92da556a56.jpg:p,https://lid.zoocdn.com/u/1080/810/6f48ae6c96c86d3a200212206b1c3c92da556a56.jpg:p,https://lid.zoocdn.com/u/1200/900/6f48ae6c96c86d3a200212206b1c3c92da556a56.jpg:p,https://lid.zoocdn.com/u/1600/1200/6f48ae6c96c86d3a200212206b1c3c92da556a56.jpg:p,https://lid.zoocdn.com/u/2400/1800/6f48ae6c96c86d3a200212206b1c3c92da556a56.jpg:p",DJ Alexander Lettings Ltd,Available from 06 January 2022
1 bed flat to rent,"Cumberland Street, New Town EH3",,,£950 pcm,"Deposit £300 - Delightful, one bedroom, traditional flat with recently refurbished interior, available 24th December 2021. Cumberland Street is set in the Heart of the New Town and is well served with many local shops and bars. This attractive property is in excellent decorative order and is tastefully furnished. Accommodation comprises open planned kitchen / living room, double bedroom and bathroom. There are two large cupboards in the flat providing ample storage and tenants have access to a cellar below Cumberland Street.,Virtual viewing available :- copy and paste this link into your browser -: ,Landlord Registration: 290915/230/19571,Scottish Letting Agent Registration Number LARN1812026","Furnished,Electric Heating,Council Tax Band - C",1 bed,,"https://lid.zoocdn.com/u/480/360/5d45810476f1cb9005592c318cd225e11f3caf66.jpg:p,https://lid.zoocdn.com/u/768/576/5d45810476f1cb9005592c318cd225e11f3caf66.jpg:p,https://lid.zoocdn.com/u/1024/768/5d45810476f1cb9005592c318cd225e11f3caf66.jpg:p,https://lid.zoocdn.com/u/1080/810/5d45810476f1cb9005592c318cd225e11f3caf66.jpg:p,https://lid.zoocdn.com/u/1200/900/5d45810476f1cb9005592c318cd225e11f3caf66.jpg:p,https://lid.zoocdn.com/u/1600/1200/5d45810476f1cb9005592c318cd225e11f3caf66.jpg:p,https://lid.zoocdn.com/u/2400/1800/5d45810476f1cb9005592c318cd225e11f3caf66.jpg:p",DJ Alexander Lettings Ltd,Available from 24 December 2021
1 bed flat to rent,"Rossie Place, Easter Road EH7",,,£795 pcm,"Deposit £300 - Charming, centrally located, second floor one double bedroom apartment situated in a quiet street just off bustling Easter Road and only a short distance from the east end attractions and shops available 22nd December 2021, furnished. The whole property has been redecorated throughout and offers a modern and stylish accommodation. The property comprises living room with fireplace and dining area, large double bedroom, compact modern kitchen, box room which is ideal for a study and bathroom with shower over bath. The property has gas central heating, double glazing, entry phone, communal garden to rear and on street parking.,Landlord Registration: 613998/230/30101,Scottish Letting Agent Registration Number LARN1812026,virtual viewing :- copy and paste this link into your browser -","Furnished,Central Heating,Shared Garden,Double Glazing,Council Tax Band - B,On Street Parking",1 bed,,"https://lid.zoocdn.com/u/480/360/a5851ce77f1438d4ff2e697d00210e16a4ad6203.jpg:p,https://lid.zoocdn.com/u/768/576/a5851ce77f1438d4ff2e697d00210e16a4ad6203.jpg:p,https://lid.zoocdn.com/u/1024/768/a5851ce77f1438d4ff2e697d00210e16a4ad6203.jpg:p,https://lid.zoocdn.com/u/1080/810/a5851ce77f1438d4ff2e697d00210e16a4ad6203.jpg:p,https://lid.zoocdn.com/u/1200/900/a5851ce77f1438d4ff2e697d00210e16a4ad6203.jpg:p,https://lid.zoocdn.com/u/1600/1200/a5851ce77f1438d4ff2e697d00210e16a4ad6203.jpg:p,https://lid.zoocdn.com/u/2400/1800/a5851ce77f1438d4ff2e697d00210e16a4ad6203.jpg:p",DJ Alexander Lettings Ltd,Available from 22 December 2021
2 bed flat to rent,"Portland Gardens, Edinburgh EH6",,,"£1,450 pcm","Accessed by lift and secure door entry system, the flat extends to approximately 1159 square feet and has been creatively designed to reflect the history of the location and magnificent views.,Floor to ceiling windows flood the rooms with light and give access to the large private terrace and a further private balcony accessed from the master bedroom. The wonderful open plan living space is perfect for entertaining and quite naturally falls into sitting, dining and kitchen areas.,The stylish kitchen has granite worktop and comes complete with integrated appliances. The master bedroom has triple fitted wardrobes and a beautifully appointed en-suite bathroom including a spa bath.,The double guest bedroom is conveniently situated adjacent to a stylish showerroom. The private balcony accessed from the master bedroom is a wonderful vantage point from which to enjoy the city's spectacular fireworks displays at the conclusion of the Festival and at New Year.,The flat also has the advantage of a large attic room accessed by loft ladder which is currently used as a store but would perhaps be suitable as a studio or study.,Hardwood floors feature throughout, complimented by soft neutral d?cor and the property also benefits from gas central heating and double glazing. An allocated parking space is available within the communal garage and there is ample visitor parking on street.,* Hall,* Superb open plan living space/contemporary kitchen with access to a large terrace,* Utility room,* Master bedroom with fitted wardrobes, luxury en-suite bathroom and access to a private balcony,* Double guest bedroom,* Fully tiled showerroom,* Large attic room with loft ladder,* Gas central heating,* Double glazing,* Entryphone,* Lift,* Private garaging and ample visitor parking,ll Reg: 395209/230/25271,No Pets. No Smoking.,Available: January 2022,Council Tax Band: F,EPC rating: C,Deposit: £1,650",Unfurnished,2 beds,,"https://lid.zoocdn.com/u/480/360/b148828aa5780d967531695c142a0d8f573a802f.jpg:p,https://lid.zoocdn.com/u/768/576/b148828aa5780d967531695c142a0d8f573a802f.jpg:p,https://lid.zoocdn.com/u/1024/768/b148828aa5780d967531695c142a0d8f573a802f.jpg:p,https://lid.zoocdn.com/u/1080/810/b148828aa5780d967531695c142a0d8f573a802f.jpg:p,https://lid.zoocdn.com/u/1200/900/b148828aa5780d967531695c142a0d8f573a802f.jpg:p,https://lid.zoocdn.com/u/1600/1200/b148828aa5780d967531695c142a0d8f573a802f.jpg:p,https://lid.zoocdn.com/u/2400/1800/b148828aa5780d967531695c142a0d8f573a802f.jpg:p",Ballantynes,Available from 05 January 2022
1 bed flat to rent,"St Stephen Street, Stockbridge, Edinburgh EH3",,,£850 pcm,"Available now â€“ Most attractive traditional second floor flat quietly located on the northern edge of the New Town between Stockbridge and Canonmills. The furnished accommodation which benefits from gas c/h comprises combined livingroom/kitchen, double bedroom, dressing room, shower room and separate w.c. Communal rear garden and residents zone parking. Excellent local amenities. Council tax band C. EPC rating: C. Landlord Registration Number: 30210/230/15440. Letting Agent Registration Number: 1907018.,Deposit: £950","Furnished,Fridge Freezer,Microwave,Central Heating,No Smoking,No pets",1 bed,1 bath,"https://lid.zoocdn.com/u/480/360/80532888eff039a0a25d82e15e65c7ee85b5978f.jpg:p,https://lid.zoocdn.com/u/768/576/80532888eff039a0a25d82e15e65c7ee85b5978f.jpg:p,https://lid.zoocdn.com/u/1024/768/80532888eff039a0a25d82e15e65c7ee85b5978f.jpg:p,https://lid.zoocdn.com/u/1080/810/80532888eff039a0a25d82e15e65c7ee85b5978f.jpg:p,https://lid.zoocdn.com/u/1200/900/80532888eff039a0a25d82e15e65c7ee85b5978f.jpg:p,https://lid.zoocdn.com/u/1600/1200/80532888eff039a0a25d82e15e65c7ee85b5978f.jpg:p,https://lid.zoocdn.com/u/2400/1800/80532888eff039a0a25d82e15e65c7ee85b5978f.jpg:p",Dove Davies & Partners,Available immediately
4 bed flat to rent,"Brunswick Place, City Centre, Edinburgh EH7",,,"£1,800 pcm","This spacious four bedroom property is offered fully furnished and compromises of separate living room/kitchen with all white goods provided. All 4 double bedrooms have a double bed, wardrobe with a desk and chair. The property also benefits from a 3 piece family bathroom.,Situated in the east of the city, Brunswick Place is a popular location for many types of residents. The area is perfect for students with a short distance to the University of Edinburgh and stunning Calton Hill. This area has an abundance of independent shops, bars and restaurants nearby. Many supermarkets are also close by and the Omni Centre hosts a variety of shops and eateries. Additionally, Montgomery Street Park is also nearby offering an open public space to residents. The area is also well connected to the city centre with regular bus services as well as being a short distance away from Edinburgh Waverley rail station. Additionally, the tram service is also with walking distance at York Place providing easy access to Edinburgh Airport.,Managed by ARLA registered agent Sandstone UK with a 24-hour emergency repairs service.,If you are not able to attend a viewing, Sandstone UK offer live live interactive viewings through Whatsapp Video, Skype, Facetime etc to offer flexibility for you to view and secure a property with us. EPC rating: E. Landlord Registration Number: 372843/230/15421. Letting Agent Registration Number: 2006006.,Deposit: £2,200","Furnished,Fridge Freezer,Shower,No Smoking,No pets,Secure Entry",4 beds,1 bath,"https://lid.zoocdn.com/u/480/360/95c39e1824646837c714c3338aace6497f790f03.jpg:p,https://lid.zoocdn.com/u/768/576/95c39e1824646837c714c3338aace6497f790f03.jpg:p,https://lid.zoocdn.com/u/1024/768/95c39e1824646837c714c3338aace6497f790f03.jpg:p,https://lid.zoocdn.com/u/1080/810/95c39e1824646837c714c3338aace6497f790f03.jpg:p,https://lid.zoocdn.com/u/1200/900/95c39e1824646837c714c3338aace6497f790f03.jpg:p,https://lid.zoocdn.com/u/1600/1200/95c39e1824646837c714c3338aace6497f790f03.jpg:p,https://lid.zoocdn.com/u/2400/1800/95c39e1824646837c714c3338aace6497f790f03.jpg:p",Grant Property,Available from 22 December 2021
4 bed flat to rent,"Carrick Knowe Terrace, Edinburgh EH12",55.936828,-3.2706901,"£2,100 pcm","Superb fully furnished 4 double bedroom double upper villa flat with HMO certification in close proximity to Heriot Watt and Napier Universities.,Recently fully refurbished HMO property with stairs to entrance hall, large lounge with dining area, 4 double bedrooms each with a desk & chair. Double bed and wardrobe. Modern newly fitted kitchen with dishwasher, washing machine, fridge freezer & electric oven /hob. Great new bathroom with shower and modern 2 piece suite in white. Low voltage lighting installed and single large flat screen TV in communal lounge. New carpets and laminate throughout, 350 Mbps fibre broadband included ( Business Grade ) .,Landlord Registration Number: 471443/230/18211,EPC: D,Deposit: £2,200","Furnished,Fridge Freezer,Dishwasher,Electric Oven,Central Heating,Double Glazing",4 beds,,"https://lid.zoocdn.com/u/480/360/3928c16273539ef21b75a9b51b0557e0e9d2a2a2.jpg:p,https://lid.zoocdn.com/u/768/576/3928c16273539ef21b75a9b51b0557e0e9d2a2a2.jpg:p,https://lid.zoocdn.com/u/1024/768/3928c16273539ef21b75a9b51b0557e0e9d2a2a2.jpg:p,https://lid.zoocdn.com/u/1080/810/3928c16273539ef21b75a9b51b0557e0e9d2a2a2.jpg:p,https://lid.zoocdn.com/u/1200/900/3928c16273539ef21b75a9b51b0557e0e9d2a2a2.jpg:p,https://lid.zoocdn.com/u/1600/1200/3928c16273539ef21b75a9b51b0557e0e9d2a2a2.jpg:p,https://lid.zoocdn.com/u/2400/1800/3928c16273539ef21b75a9b51b0557e0e9d2a2a2.jpg:p",Rentlocally Head Office,Available immediately
